Date Local,State,NO2 AQI,O3 AQI,SO2 AQI,CO AQI
2,South Dakota,12.588235294117647,15.705882352941176,0.47058823529411764,3.3529411764705883
2,Texas,20.395522388059703,29.37313432835821,1.4850746268656716,4.067164179104478
2,Utah,33.5,31.035714285714285,0.2857142857142857,6.607142857142857
2,Virginia,21.821428571428573,31.785714285714285,3.857142857142857,4.642857142857143
2,Wyoming,8.071428571428571,37.857142857142854,0.14285714285714285,0.5535714285714286
3,Alabama,17.678571428571427,33.92857142857143,8.964285714285714,3.357142857142857
3,Alaska,30.333333333333332,20.555555555555557,15.666666666666666,6.611111111111111
3,Arizona,33.32258064516129,45.69892473118279,1.8172043010752688,6.827956989247312
3,Arkansas,20.838709677419356,31.0,2.2580645161290325,3.5483870967741935
3,California,23.048780487804876,43.41869918699187,1.2235772357723578,5.911924119241192
